provinsi
DKI_JAKARTA
JAWA_BARAT
JAWA_TIMUR
JAWA_TENGAH
BANTEN
DAERAH_ISTIMEWA_YOGYAKARTA
BALI
KALIMANTAN_TIMUR
KALIMANTAN_SELATAN
KALIMANTAN_TENGAH
KALIMANTAN_BARAT
KALIMANTAN_UTARA
SUMATERA_UTARA
SUMATERA_BARAT
SUMATERA_SELATAN
LAMPUNG
KEPULAUAN_BANGKA_BELITUNG
ACEH
JAMBI
SULAWESI_UTARA
SULAWESI_TENGAH
SULAWESI_TENGGARA
SULAWESI_SELATAN
SULAWESI_BARAT
KEPULAUAN_RIAU
RIAU
NUSA_TENGGARA_TIMUR
NUSA_TENGGARA_BARAT
PAPUA
PAPUA_BARAT
BENGKULU
MALUKU
MALUKU_UTARA
GORONTALO
